Day,Date,Grand Sales,Special Note,High Temp,Low Temp,Flavor,Made,Used,Waste,Usage_Efficiency,Waste_Percentage
Monday,1/1/24,23056.64,New Years Day,66,47,BBC,6,5,1,0.833333333,0.166666667
Monday,1/1/24,23056.64,New Years Day,66,47,WC,22,14,8,0.636363636,0.363636364
Monday,1/1/24,23056.64,New Years Day,66,47,MT,23,8,15,0.347826087,0.652173913
Monday,1/1/24,23056.64,New Years Day,66,47,ST,10,6,4,0.6,0.4
Monday,1/1/24,23056.64,New Years Day,66,47,FW/WT,6,4,2,0.666666667,0.333333333
Monday,1/1/24,23056.64,New Years Day,66,47,Lemon,2,2,0,1,0
Monday,1/1/24,23056.64,New Years Day,66,47,Extras,45,44,1,0.977777778,0.022222222
Tuesday,1/2/24,17176.32,None,66,44,BBC,5,3,2,0.6,0.4
Tuesday,1/2/24,17176.32,None,66,44,WC,20,12,8,0.6,0.4
Tuesday,1/2/24,17176.32,None,66,44,MT,15,7,8,0.466666667,0.533333333
Tuesday,1/2/24,17176.32,None,66,44,ST,11,8,3,0.727272727,0.272727273
Tuesday,1/2/24,17176.32,None,66,44,FW/WT,6,6,0,1,0
Tuesday,1/2/24,17176.32,None,66,44,Lemon,2,2,0,1,0
Tuesday,1/2/24,17176.32,None,66,44,Extras,40,32,8,0.8,0.2
Wednesday,1/3/24,15762.87,None,63,48,BBC,3,1,2,0.333333333,0.666666667
Wednesday,1/3/24,15762.87,None,63,48,WC,16,1,15,0.0625,0.9375
Wednesday,1/3/24,15762.87,None,63,48,MT,2,6,-4,3,-2
Wednesday,1/3/24,15762.87,None,63,48,ST,8,2,6,0.25,0.75
Wednesday,1/3/24,15762.87,None,63,48,FW/WT,6,2,4,0.333333333,0.666666667
Wednesday,1/3/24,15762.87,None,63,48,Lemon,2,2,0,1,0
Wednesday,1/3/24,15762.87,None,63,48,Extras,38,30,8,0.789473684,0.210526316
Thursday,1/4/24,16591.96,None,64,41,BBC,4,2,2,0.5,0.5
Thursday,1/4/24,16591.96,None,64,41,WC,15,12,3,0.8,0.2
Thursday,1/4/24,16591.96,None,64,41,MT,36,5,31,0.138888889,0.861111111
Thursday,1/4/24,16591.96,None,64,41,ST,7,5,2,0.714285714,0.285714286
Thursday,1/4/24,16591.96,None,64,41,FW/WT,8,6,2,0.75,0.25
Thursday,1/4/24,16591.96,None,64,41,Lemon,2,2,0,1,0
Thursday,1/4/24,16591.96,None,64,41,Extras,39,31,8,0.794871795,0.205128205
Friday,1/5/24,22423.06,None,66,42,BBC,6,2,4,0.333333333,0.666666667
Friday,1/5/24,22423.06,None,66,42,WC,18,13,5,0.722222222,0.277777778
Friday,1/5/24,22423.06,None,66,42,MT,31,7,24,0.225806452,0.774193548
Friday,1/5/24,22423.06,None,66,42,ST,10,7,3,0.7,0.3
Friday,1/5/24,22423.06,None,66,42,FW/WT,5,2,3,0.4,0.6
Friday,1/5/24,22423.06,None,66,42,Lemon,2,2,0,1,0
Friday,1/5/24,22423.06,None,66,42,Extras,42,31,11,0.738095238,0.261904762
Saturday,1/6/24,24330.87,None,65,41,BBC,5,3,2,0.6,0.4
Saturday,1/6/24,24330.87,None,65,41,WC,20,17,3,0.85,0.15
Saturday,1/6/24,24330.87,None,65,41,MT,15,9,6,0.6,0.4
Saturday,1/6/24,24330.87,None,65,41,ST,12,9,3,0.75,0.25
Saturday,1/6/24,24330.87,None,65,41,FW/WT,5,7,-2,1.4,-0.4
Saturday,1/6/24,24330.87,None,65,41,Lemon,2,2,0,1,0
Saturday,1/6/24,24330.87,None,65,41,Extras,49,48,1,0.979591837,0.020408163
Sunday,1/7/24,19244.62,None,62,42,BBC,5,2,3,0.4,0.6
Sunday,1/7/24,19244.62,None,62,42,WC,20,7,13,0.35,0.65
Sunday,1/7/24,19244.62,None,62,42,MT,15,2,13,0.133333333,0.866666667
Sunday,1/7/24,19244.62,None,62,42,ST,12,4,8,0.333333333,0.666666667
Sunday,1/7/24,19244.62,None,62,42,FW/WT,5,4,1,0.8,0.2
Sunday,1/7/24,19244.62,None,62,42,Lemon,2,1,1,0.5,0.5
Sunday,1/7/24,19244.62,None,62,42,Extras,49,212,-163,4.326530612,-3.326530612
Monday,1/8/24,10626.52,None,63,39,BBC,4,2,2,0.5,0.5
Monday,1/8/24,10626.52,None,63,39,WC,11,7,4,0.636363636,0.363636364
Monday,1/8/24,10626.52,None,63,39,MT,31,2,29,0.064516129,0.935483871
Monday,1/8/24,10626.52,None,63,39,ST,8,4,4,0.5,0.5
Monday,1/8/24,10626.52,None,63,39,FW/WT,4,4,0,1,0
Monday,1/8/24,10626.52,None,63,39,Lemon,1,1,0,1,0
Monday,1/8/24,10626.52,None,63,39,Extras,30,21,9,0.7,0.3
Tuesday,1/9/24,12271.04,None,64,38,BBC,2,1,1,0.5,0.5
Tuesday,1/9/24,12271.04,None,64,38,WC,12,8,4,0.666666667,0.333333333
Tuesday,1/9/24,12271.04,None,64,38,MT,29,3,26,0.103448276,0.896551724
Tuesday,1/9/24,12271.04,None,64,38,ST,4,3,1,0.75,0.25
Tuesday,1/9/24,12271.04,None,64,38,FW/WT,2,1,1,0.5,0.5
Tuesday,1/9/24,12271.04,None,64,38,Lemon,1,1,0,1,0
Tuesday,1/9/24,12271.04,None,64,38,Extras,27,22,5,0.814814815,0.185185185
Wednesday,1/10/24,10938.63,None,62,41,BBC,4,2,2,0.5,0.5
Wednesday,1/10/24,10938.63,None,62,41,WC,10,7,3,0.7,0.3
Wednesday,1/10/24,10938.63,None,62,41,MT,34,5,29,0.147058824,0.852941176
Wednesday,1/10/24,10938.63,None,62,41,ST,5,3,2,0.6,0.4
Wednesday,1/10/24,10938.63,None,62,41,FW/WT,5,2,3,0.4,0.6
Wednesday,1/10/24,10938.63,None,62,41,Lemon,1,1,0,1,0
Wednesday,1/10/24,10938.63,None,62,41,Extras,28,20,8,0.714285714,0.285714286
Thursday,1/11/24,11850.08,None,64,47,BBC,2,1,1,0.5,0.5
Thursday,1/11/24,11850.08,None,64,47,WC,11,10,1,0.909090909,0.090909091
Thursday,1/11/24,11850.08,None,64,47,MT,40,3,37,0.075,0.925
Thursday,1/11/24,11850.08,None,64,47,ST,4,3,1,0.75,0.25
Thursday,1/11/24,11850.08,None,64,47,FW/WT,4,3,1,0.75,0.25
Thursday,1/11/24,11850.08,None,64,47,Lemon,1,2,-1,2,-1
Thursday,1/11/24,11850.08,None,64,47,Extras,28,20,8,0.714285714,0.285714286
Friday,1/12/24,18576.86,None,64,41,BBC,5,3,2,0.6,0.4
Friday,1/12/24,18576.86,None,64,41,WC,20,14,6,0.7,0.3
Friday,1/12/24,18576.86,None,64,41,MT,37,7,30,0.189189189,0.810810811
Friday,1/12/24,18576.86,None,64,41,ST,7,5,2,0.714285714,0.285714286
Friday,1/12/24,18576.86,None,64,41,FW/WT,6,2,4,0.333333333,0.666666667
Friday,1/12/24,18576.86,None,64,41,Lemon,2,2,0,1,0
Friday,1/12/24,18576.86,None,64,41,Extras,46,41,5,0.891304348,0.108695652
Saturday,1/13/24,23662.54,MLK Wknd,64,41,BBC,6,3,3,0.5,0.5
Saturday,1/13/24,23662.54,MLK Wknd,64,41,WC,18,17,1,0.944444444,0.055555556
Saturday,1/13/24,23662.54,MLK Wknd,64,41,MT,30,7,23,0.233333333,0.766666667
Saturday,1/13/24,23662.54,MLK Wknd,64,41,ST,8,7,1,0.875,0.125
Saturday,1/13/24,23662.54,MLK Wknd,64,41,FW/WT,8,8,0,1,0
Saturday,1/13/24,23662.54,MLK Wknd,64,41,Lemon,2,2,0,1,0
Saturday,1/13/24,23662.54,MLK Wknd,64,41,Extras,46,40,6,0.869565217,0.130434783
Sunday,1/14/24,24947.28,MLK Wknd,64,43,BBC,2,1,1,0.5,0.5
Sunday,1/14/24,24947.28,MLK Wknd,64,43,WC,12,8,4,0.666666667,0.333333333
Sunday,1/14/24,24947.28,MLK Wknd,64,43,MT,29,3,26,0.103448276,0.896551724
Sunday,1/14/24,24947.28,MLK Wknd,64,43,ST,4,3,1,0.75,0.25
Sunday,1/14/24,24947.28,MLK Wknd,64,43,FW/WT,2,0,2,0,1
Sunday,1/14/24,24947.28,MLK Wknd,64,43,Lemon,1,1,0,1,0
Sunday,1/14/24,24947.28,MLK Wknd,64,43,Extras,27,22,5,0.814814815,0.185185185
Monday,1/15/24,17633.67,MLK Day,65,43,BBC,4,1,3,0.25,0.75
Monday,1/15/24,17633.67,MLK Day,65,43,WC,10,10,0,1,0
Monday,1/15/24,17633.67,MLK Day,65,43,MT,34,3,31,0.088235294,0.911764706
Monday,1/15/24,17633.67,MLK Day,65,43,ST,5,3,2,0.6,0.4
Monday,1/15/24,17633.67,MLK Day,65,43,FW/WT,5,3,2,0.6,0.4
Monday,1/15/24,17633.67,MLK Day,65,43,Lemon,1,2,-1,2,-1
Monday,1/15/24,17633.67,MLK Day,65,43,Extras,28,20,8,0.714285714,0.285714286
Tuesday,1/16/24,12674.38,None,68,46,BBC,5,4,1,0.8,0.2
Tuesday,1/16/24,12674.38,None,68,46,WC,20,14,6,0.7,0.3
Tuesday,1/16/24,12674.38,None,68,46,MT,37,7,30,0.189189189,0.810810811
Tuesday,1/16/24,12674.38,None,68,46,ST,7,5,2,0.714285714,0.285714286
Tuesday,1/16/24,12674.38,None,68,46,FW/WT,6,2,4,0.333333333,0.666666667
Tuesday,1/16/24,12674.38,None,68,46,Lemon,2,2,0,1,0
Tuesday,1/16/24,12674.38,None,68,46,Extras,46,41,5,0.891304348,0.108695652
